#wl,fl,unc,lq,uq,n
##double,double,double,double,double,int
1076.5000,9.52900,0.19161,5.3310,12.8600,386
1077.5000,9.20100,0.16035,6.0540,12.4840,402
1078.5000,10.06100,0.16899,6.6470,13.4740,408
1079.5000,9.48300,0.14257,6.6580,12.3750,402
1080.5000,9.32100,0.16885,6.0250,12.8380,407
1081.5000,8.94300,0.16796,6.0160,12.8260,411
1082.5000,9.70700,0.15847,6.5640,12.9500,406
1083.5000,8.84400,0.15944,5.6640,12.1600,415
1084.5000,9.62600,0.16363,6.0260,12.6120,405
1085.5000,8.84400,0.16791,5.8530,12.6860,414
1086.5000,9.14100,0.16965,5.2450,12.0650,404
1087.5000,8.42900,0.18251,4.6520,12.0250,408
1088.5000,8.92800,0.15914,5.6350,12.0480,406
1089.5000,8.93000,0.14077,6.0750,11.7550,407
1090.5000,8.67800,0.14143,5.7510,11.4010,399
1091.5000,8.23000,0.15095,5.3470,11.4450,408
1092.5000,8.31400,0.13959,5.4450,11.1460,417
1093.5000,8.60800,0.15359,4.9300,11.1500,410
1094.5000,8.78000,0.15746,5.2330,11.6330,413
1095.5000,8.82400,0.14773,5.7330,11.6790,405
1096.5000,8.26700,0.14317,5.4710,11.2900,413
1097.5000,7.77500,0.13123,5.0450,10.4430,423
1098.5000,8.19600,0.14361,5.1630,11.0280,417
1099.5000,7.92100,0.14559,4.8900,10.7930,411
1100.5000,7.99800,0.15384,4.9230,11.1910,415
1101.5000,7.76200,0.13407,4.9050,10.4590,429
1102.5000,8.11900,0.15256,5.0740,11.3790,427
1103.5000,8.71000,0.15068,5.6210,11.7970,420
1104.5000,9.07300,0.12926,6.3790,11.6960,423
1105.5000,8.92300,0.12834,6.2980,11.6270,431
1106.5000,8.82800,0.15713,5.2150,11.7390,431
1107.5000,8.75800,0.13312,6.2360,11.7760,433
1108.5000,9.00300,0.13772,6.1230,11.8610,434
1109.5000,8.40100,0.13479,5.8340,11.4500,434
1110.5000,9.56600,0.13340,6.5050,12.0760,436
1111.5000,9.24100,0.15411,5.7370,12.1950,439
1112.5000,9.03300,0.14231,5.9560,11.9600,445
1113.5000,8.89800,0.13750,6.0890,11.8310,436
1114.5000,8.81700,0.16194,5.1690,11.9320,436
1115.5000,9.36900,0.15379,6.0110,12.4410,437
1116.5000,9.58700,0.14495,6.2820,12.4520,453
1117.5000,9.04900,0.13633,5.9060,11.7220,455
1118.5000,9.01400,0.14758,5.4230,11.7330,457
1119.5000,9.31800,0.15603,5.5750,12.1950,450
1120.5000,8.65300,0.13796,5.7160,11.5430,446
1121.5000,9.65600,0.13594,6.6450,12.4190,451
1122.5000,8.67000,0.15461,5.4290,12.0250,455
1123.5000,9.09900,0.11838,6.9010,11.9680,458
1124.5000,8.74400,0.13452,5.9830,11.7030,452
1125.5000,8.84800,0.12862,6.2160,11.6730,450
1126.5000,8.28200,0.14267,5.4440,11.5240,454
1127.5000,8.80200,0.14438,5.5500,11.7230,457
1128.5000,9.33400,0.14000,5.9120,11.9760,469
1129.5000,8.88100,0.13279,5.8810,11.6140,466
1130.5000,8.70600,0.14704,5.6150,11.8810,454
1131.5000,8.66500,0.13010,5.9990,11.5310,452
1132.5000,8.43800,0.12806,5.4470,10.9280,458
1133.5000,8.42200,0.13265,5.4370,11.2130,474
1134.5000,8.03600,0.13984,5.0530,11.0580,461
1135.5000,7.98500,0.12359,5.2090,10.6300,481
1136.5000,8.23900,0.13381,5.3590,11.2040,477
1137.5000,8.53500,0.14304,5.3810,11.6030,473
1138.5000,8.35100,0.13729,4.9550,11.0020,485
1139.5000,8.01700,0.12608,5.3660,10.9250,486
1140.5000,7.84900,0.13513,5.2250,11.0780,469
1141.5000,7.68900,0.13579,5.0480,11.0290,485
1142.5000,8.32800,0.11451,5.6870,10.6730,474
1143.5000,8.28600,0.12140,5.5020,10.8600,487
1144.5000,8.62900,0.12445,5.5340,11.0550,492
1145.5000,8.33200,0.12100,5.5460,10.8920,488
1146.5000,8.88500,0.12698,5.7510,11.4070,496
1147.5000,7.71500,0.11981,5.3720,10.6490,485
1148.5000,8.40900,0.12049,5.6410,11.0350,501
1149.5000,8.43700,0.13526,5.5540,11.5360,489
1150.5000,8.14600,0.13324,5.1750,11.0740,490
1151.5000,8.24400,0.13062,5.1360,10.8890,485
1152.5000,8.17700,0.12667,5.3880,11.0360,497
1153.5000,8.37200,0.12856,5.6170,11.3550,498
1154.5000,8.31800,0.12409,5.0570,10.6120,501
1155.5000,8.42900,0.11609,5.7350,10.9680,508
1156.5000,8.75100,0.12220,5.7300,11.2600,512
1157.5000,8.42200,0.12040,5.6170,11.1030,519
1158.5000,8.60300,0.12830,5.5550,11.4290,524
1159.5000,8.00700,0.12055,5.3010,10.7460,510
1160.5000,8.16800,0.11981,5.7010,11.1440,516
1161.5000,8.62000,0.12400,5.5040,11.1210,513
1162.5000,8.49100,0.11610,5.6150,10.9050,519
1163.5000,8.81500,0.11954,5.7970,11.2540,521
1164.5000,8.91300,0.12156,6.1680,11.6960,517
1165.5000,8.72700,0.13297,5.3940,11.5510,536
1166.5000,8.74600,0.12411,6.0820,11.7150,515
1167.5000,9.01900,0.14652,5.3690,12.1470,535
