observationStartMJD,fieldRA,fiveSigmaDepth,airmass,fieldDec,filter,ra,dec,id
62067.179502314815,18.694117,24.804157560698638,1.0657618515886351,-49.677317,g,20.0,-50.0,15
59910.06046296296,18.694117,24.823817046278982,1.061031995541553,-49.677317,g,20.0,-50.0,15
63091.350590277776,18.694117,25.081014890056085,1.0609754633986213,-49.677317,g,20.0,-50.0,15
60886.38486111111,18.694117,25.013672237935346,1.0611403759059974,-49.677317,g,20.0,-50.0,15
60903.3459375,18.694117,24.480733759185114,1.0605567864636747,-49.677317,g,20.0,-50.0,15
60175.35091435185,18.694117,24.76202828087451,1.0624925867002746,-49.677317,g,20.0,-50.0,15
63188.140810185185,18.694117,24.374865609430692,1.0931711306773664,-49.677317,g,20.0,-50.0,15
60565.2703587963,18.694117,24.63979691563012,1.0607405605314222,-49.677317,g,20.0,-50.0,15
62387.290497685186,18.694117,22.966877605849117,1.0614770609544395,-49.677317,u,20.0,-50.0,15
63473.28791666667,18.694117,24.770207367713265,1.0664832535438091,-49.677317,g,20.0,-50.0,15
60585.22037037037,18.694117,24.824162877121193,1.0607727098996693,-49.677317,g,20.0,-50.0,15
63178.127546296295,18.694117,24.628187488189152,1.0618952803533581,-49.677317,g,20.0,-50.0,15
62774.213113425925,18.694117,23.26498944440304,1.062077299638494,-49.677317,u,20.0,-50.0,15
63188.11116898148,18.694117,24.412594696968835,1.06617308885456,-49.677317,g,20.0,-50.0,15
61262.40048611111,18.694117,24.684655772705714,1.0786209965768556,-49.677317,g,20.0,-50.0,15
61351.11199074074,18.694117,23.530752187660145,1.0614936454968227,-49.677317,u,20.0,-50.0,15
62030.253796296296,18.694117,23.583813448162143,1.061257614366432,-49.677317,u,20.0,-50.0,15
63458.32821759259,18.694117,24.882525506819295,1.0668959632728074,-49.677317,g,20.0,-50.0,15
60585.202627314815,18.694117,24.742260461470657,1.0630394794949296,-49.677317,g,20.0,-50.0,15
61262.379837962966,18.694117,24.789261560057344,1.0642743318034606,-49.677317,g,20.0,-50.0,15
62057.17619212963,18.694117,24.934413710254557,1.061872968601611,-49.677317,g,20.0,-50.0,15
61656.298425925925,18.694117,24.685993914978553,1.0632178113290456,-49.677317,g,20.0,-50.0,15
63071.410046296296,18.694117,23.457668998932213,1.0606963476279696,-49.677317,u,20.0,-50.0,15
59873.166400462964,18.694117,23.78923403981174,1.0606985345950624,-49.677317,u,20.0,-50.0,15
60937.24469907407,18.694117,23.27515152295965,1.0614277302579318,-49.677317,u,20.0,-50.0,15
60138.43885416666,18.694117,24.091995481766144,1.0604610545848845,-49.677317,g,20.0,-50.0,15
60520.42134259259,18.694117,24.406249982334792,1.0699982895474163,-49.677317,g,20.0,-50.0,15
63476.279016203705,18.694117,23.228673307163106,1.0669225257672181,-49.677317,u,20.0,-50.0,15
60200.258414351854,18.694117,23.253242399137683,1.0626297077884566,-49.677317,u,20.0,-50.0,15
61622.40408564815,18.694117,24.539269887521296,1.0699120567050149,-49.677317,g,20.0,-50.0,15
60265.08866898148,18.694117,23.1218595424094,1.0608435767247177,-49.677317,u,20.0,-50.0,15
62089.09137731481,18.694117,22.861935478388776,1.0613095093361031,-49.677317,u,20.0,-50.0,15
63473.26665509259,18.694117,24.843863809459638,1.0838475902662315,-49.677317,g,20.0,-50.0,15
63187.08975694444,18.694117,23.145706983487536,1.0606080942713956,-49.677317,u,20.0,-50.0,15
60520.435011574074,18.694117,24.105759310158497,1.0815065125465304,-49.677317,g,20.0,-50.0,15
60995.09510416666,18.694117,23.294050101526235,1.060633313389105,-49.677317,u,20.0,-50.0,15
60913.32748842592,18.694117,23.033512864867326,1.0617711478062544,-49.677317,u,20.0,-50.0,15
60565.2830787037,18.694117,24.906669654053985,1.062239456097939,-49.677317,g,20.0,-50.0,15
61704.15482638889,18.694117,23.5069270069503,1.0606573855207277,-49.677317,u,20.0,-50.0,15
60903.36759259259,18.694117,24.49983281121694,1.0664580442084897,-49.677317,g,20.0,-50.0,15
60612.13719907407,18.694117,23.997089884222063,1.0611705822336703,-49.677317,u,20.0,-50.0,15
62057.1922337963,18.694117,24.852719399733115,1.0611402169016337,-49.677317,g,20.0,-50.0,15
62709.36949074074,18.694117,24.067039189047534,1.0730549411615693,-49.677317,g,20.0,-50.0,15
60973.16384259259,18.694117,24.77747202146761,1.0618027760484452,-49.677317,g,20.0,-50.0,15
61261.364756944444,18.694117,23.371411163371295,1.0604388766646906,-49.677317,u,20.0,-50.0,15
63178.10592592593,18.694117,24.740758606185832,1.0623048304532292,-49.677317,g,20.0,-50.0,15
61677.219675925924,18.694117,23.21882660498421,1.0613139158720148,-49.677317,u,20.0,-50.0,15
62473.05616898148,18.694117,23.30651221728054,1.0613136428469654,-49.677317,u,20.0,-50.0,15
62067.15707175926,18.694117,24.826372049946727,1.0605706743467174,-49.677317,g,20.0,-50.0,15
60886.37081018519,18.694117,24.949010542728892,1.0664430565296044,-49.677317,g,20.0,-50.0,15
63091.33856481482,18.694117,25.019291967883913,1.0641945285864909,-49.677317,g,20.0,-50.0,15
61622.37978009259,18.694117,24.33394859484693,1.060649425204166,-49.677317,g,20.0,-50.0,15
62709.400289351855,18.694117,24.17945284510368,1.0606608611015447,-49.677317,g,20.0,-50.0,15
61709.1365625,18.694117,23.308111542158578,1.0606526242927246,-49.677317,u,20.0,-50.0,15
59903.14068287037,40.333092,23.197141891927945,1.0612705752518174,-49.754501,u,40.0,-50.0,16
59878.204872685186,40.333092,23.66544668202786,1.0616527988885156,-49.754501,u,40.0,-50.0,16
59877.20469907407,40.333092,23.171677005087236,1.0626232560937257,-49.754501,u,40.0,-50.0,16
61379.103113425925,40.333092,23.65569222303783,1.0610382226656554,-49.754501,u,40.0,-50.0,16
62083.181296296294,40.333092,24.648942390594573,1.0615863599151787,-49.754501,g,40.0,-50.0,16
60611.19930555556,40.333092,23.779433243487077,1.061760279472571,-49.754501,u,40.0,-50.0,16
62470.14471064815,40.333092,24.807077680386794,1.0713972874640667,-49.754501,g,40.0,-50.0,16
62445.220243055555,40.333092,24.792033829791425,1.0774510010740626,-49.754501,g,40.0,-50.0,16
62474.091678240744,40.333092,23.096557706724173,1.0635504949649779,-49.754501,u,40.0,-50.0,16
60590.28922453704,40.333092,25.03444721811644,1.0697726423310057,-49.754501,g,40.0,-50.0,16
62470.16241898148,40.333092,24.755073301890516,1.0881894895273705,-49.754501,g,40.0,-50.0,16
63187.17456018519,40.333092,24.589801630701192,1.0668615680433489,-49.754501,g,40.0,-50.0,16
62124.075150462966,40.333092,23.563885637582832,1.0629120832217438,-49.754501,u,40.0,-50.0,16
61735.125914351855,40.333092,23.1211286046609,1.061327493125654,-49.754501,u,40.0,-50.0,16
62032.31314814815,40.333092,23.592555951737246,1.0612172991489675,-49.754501,u,40.0,-50.0,16
60280.108831018515,40.333092,24.396968640102987,1.0611928770098127,-49.754501,g,40.0,-50.0,16
60590.273368055554,40.333092,24.916974038128274,1.0625007329772096,-49.754501,g,40.0,-50.0,16
63213.079976851855,40.333092,23.477521734572456,1.06127082550486,-49.754501,u,40.0,-50.0,16
62445.19855324074,40.333092,24.47850644457278,1.0637367082580285,-49.754501,g,40.0,-50.0,16
62473.09611111111,40.333092,23.30515467829506,1.0627999556029402,-49.754501,u,40.0,-50.0,16
63457.39638888889,40.333092,24.877855890164785,1.064444386306954,-49.754501,g,40.0,-50.0,16
62767.28228009259,40.333092,23.294072652695725,1.066147104723684,-49.754501,u,40.0,-50.0,16
62000.41769675926,40.333092,23.361711153848763,1.0639951302171118,-49.754501,u,40.0,-50.0,16
